Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belarus,GDP (current US$),,,21650000000,18000000000,17037037037.037,16280991735.5372,14932024169.1843,13972676840.918,14756846153.8462,14128408565.7064,15222012660.4232,12138486532.0203,12736856827.9847,12354820143.8849,14594928109.4411,17825437482.8613,23141593073.9738,30210091836.8294,36961822468.2015,45275747157.412,60752177438.8895,50873181571.649,57231904542.8755,61762340943.0511,65685903570.4526,75527537703.1836,78812785767.7483,56454895054.6555,47723549319.0842,54725311690.0478,60031163987.191,64410112583.362,61371755326.2351,69673747131.87,72793457588.4367
Belgium,GDP (current US$),162299103675.261,164221056511.057,205331747947.851,210510999409.333,234781652446.675,224721795708.955,244884129491.198,288025588396.278,279201433224.756,252708051420.839,258528339631.029,258245733221.468,236792460312.471,236746141604.37,258383599375.177,318082528506.588,369214712443.206,385714762230.039,408259840868.823,470922156309.453,517328087920.078,483254171097.812,481420882905.012,523330354138.137,496152879924.727,521791015247.064,535390200131.009,462335574841.484,476062757356.94,502764720556.358,543299066998.892,535865692402.342,525213067068.319,594351961634.487,578604103123.349
Belize,GDP (current US$),320093360.27,369133890.705,549500000,599000000,693500000,751000000,771500000,818500000,851500000,868000000,914000000,975000000,1116000000,1163000000,1233000000,1298000000,1389500000,1461500000,1581000000,1696000000,1729000000,1680500000,1738500000,1819500000,1903000000,2029500000,2138000000,2210500000,2258500000,2286000000,2315000000,2416500000,2080000000,2491500000,2824081836.19867
Benin,GDP (current US$),1620246084.77733,1502294413.87362,1959965330.47596,1986437797.87672,1695315305.70308,2274558078.74486,1598075944.85876,2169627138.34967,2361116448.13525,2268301645.09367,2455092688.14767,3677393996.83788,3519991440.32367,3666222633.8361,4194342689.26284,5349258092.89147,6190270377.07583,6567654958.75337,7034111316.29951,8169048374.70846,9787734516.74186,9738626509.93368,9535345011.48728,10693321370.0352,11141358105.9864,12517845127.6766,13284527850.2627,11388160997.1088,11821065852.127,12701655845.9622,14262408079.7005,14391686309.0337,15651545208.8771,17690083519.9322,17401746309.266
Bermuda,GDP (current US$),1415100032,1501500032,1592400000,1634900000,1679900000,1820359900,1867160100,2030750000,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887147000,7127200000,7550500000
Bhutan,GDP (current US$),272298060.019761,264798626.162522,287765007.10715,240294282.493958,240233528.070813,225973695.307301,258954703.921599,290490986.801873,303408342.7658,352229078.324249,363458380.903342,399311196.41631,424448931.007248,461479580.18354,520846131.727551,603999372.378586,682577073.528827,796938571.960642,874989734.663935,1168307574.79508,1227809261.04208,1234015141.60305,1547990907.46305,1777102585.93229,1781280170.44296,1756214303.92609,1907090361.57887,2003596824.31099,2158971717.50418,2450366107.88229,2446867582.27133,2535655609.45889,2325185520.59339,2539551327.48291,
Bolivia,GDP (current US$),4597612362.09771,4715972853.37585,4867582597.52327,5343261959.67632,5643869230.99931,5734699040.65963,5981223290.32467,6715162198.52406,7396948397.53774,7925736318.63679,8497494138.07289,8285063959.43162,8397855937.46841,8141517339.15215,7905485146.44351,8082399991.29583,8773451751.5121,9549122313.39641,11451845378.6897,13120107738.8851,16674276979.4745,17339992193.7322,19649724655.5819,23963162969.3832,27084497481.9103,30659338885.6729,32996188017.3661,33000198248.9146,33941126193.9219,37508642170.767,40287647930.5355,40895322850.9407,36629843806.0781,40408208523.8784,43068885672.9378
Bosnia and Herzegovina,GDP (current US$),,,,,,,1255802469.1358,1866572953.73665,2786045321.63743,3671910025.96515,4116775275.40595,4686255380.52593,5567774049.09534,5800616572.16444,6728219506.73943,8498893357.96025,10156541358.1787,11222796196.6789,12864842268.5435,15778737117.2987,19112801196.8583,17613946109.0187,17176320823.1892,18644239027.714,17226736284.8232,18179104548.8804,18558731212.8666,16404352155.614,17116926092.3905,18326376394.0796,20484048415.5019,20482603346.4473,20226030731.0131,23649566069.2355,24527507287.7962
Botswana,GDP (current US$),2644554881.84186,3083822367.10683,3790636664.02546,3942877353.59054,4146464586.61674,4160129174.70569,4259258810.89328,4730599690.73974,4847757703.86629,5020265168.28901,4790481509.17679,5484263050.39562,5788329609.15755,5489608299.66445,5438864269.39361,7511582173.37724,8957467706.5354,9918907108.09702,9919158482.41085,10567270655.5027,10730828592.459,10118459713.7024,12637273429.1339,15110642875.5965,13907464500.1489,14271738366.7917,15470087926.2484,13530749289.7861,15082636722.856,16105156375.5848,17031943186.1353,16725908661.9419,14960291540.5283,18737066306.9659,20352322157.1467
Brazil,GDP (current US$),307881930752.268,412990820287.42,464989098144.854,407729053018.907,390566561752.671,438299504463.02,546229749726.263,769333330439.52,850426432991.742,883206452832.811,863711007338.683,599642075039.049,655448188246.11,559983704075.658,509795270707.268,558233724160.742,669289321953.683,891633826582.606,1107626711436.44,1397114247287.58,1695855391816.48,1666996294324.76,2208838108593.19,2616156606734.51,2465228293862.62,2472819362259,2456043766063.5,1802211999555.59,1795693265824.27,2063514688761.67,1916933708404.16,1873288159000.64,1476107292036.59,1649622972159.35,1920095560995.06
Brunei,GDP (current US$),2690684124.87422,2985531762.88612,3520486979.54981,3701774188.88021,4183633796.47628,4105729444.14733,4087219772.89949,4734103536.46706,5115454694.27896,5197312555.4576,4051143193.1732,4600117603.79321,6001280943.71691,5601020247.27601,5843367180.06094,6557395815.59539,7872201250.91582,9531417164.46943,11470462364.6891,12247680702.8059,14393437610.2552,10732592999.3918,13707275498.0569,18525128229.6754,19048443089.2531,18094326392.7086,17097801091.9771,12930292949.4216,11400467372.4943,12128182463.596,13567164444.9707,13469240162.5496,12005795914.7306,14006497000.2477,16681531645.7347
Bulgaria,GDP (current US$),22555941176.4706,21988444444.4444,20632090909.0909,10943548387.0968,10350515463.9175,10832228507.2315,9697416974.16974,18991531542.7083,12294987876.3121,11316126257.5839,15031052200.5463,13627325461.1743,13245990274.4581,14183443861.6902,16403043849.8297,21144962058.2885,26157744752.7834,29868651533.1188,34380543845.3973,44432811756.4731,54480697770.0773,52023813557.8158,50754203890.7341,57735709913.8851,54290156342.3767,55844245263.8012,57159557804.6461,50828088835.9428,53987487124.3421,59343060705.828,66399602077.1693,68911930627.8977,70404359049.232,84061395658.221,89040398406.3745
Burkina Faso,GDP (current US$),2616040480.57952,2615587729.97265,3101300779.08364,3135045586.20845,3356692508.3457,3199536459.58343,1895290638.27038,2379517975.75103,2586550594.03222,2447669100.46978,2804902369.20398,3389566710.90266,2968370087.46649,3190371079.81411,3622350065.5903,4740768141.265,5451688534.59524,6146353177.43367,6547419821.69486,7625722829.17892,9451435480.94322,9450696866.48276,10109619736.1442,12080295984.7682,12561015145.3925,13444300489.8634,13943016080.2646,11832159315.9778,12833363043.9719,14106955625.3571,15890066209.8959,16178161666.1334,17933606212.6294,19737616003.022,18884619613.4388
Burundi,GDP (current US$),1082403219.48787,1113924130.41149,1132101252.51817,1167398478.3459,1083037670.60484,938632612.026359,925030590.153683,1000428393.88528,869033856.317093,972896267.915425,893770739.54206,808077223.365746,870486065.883137,876794723.068586,825394519.71933,784654423.620476,915257323.3961,1117113080.08074,1273375078.44844,1356199386.79629,1611835856.59275,1781455140.34202,2032135191.46211,2235820808.72908,2333341334.45753,2451606631.76696,2705783330.38796,3104003545.60675,2644487777.23693,2723586962.18686,2667182198.97925,2576518879.39881,2649680261.01097,2775798697.16485,3073414677.84385
Cambodia,GDP (current US$),,,,,,2533727592.04165,2791435272.26653,3441205692.9166,3506695719.57259,3443413388.6909,3120425502.58253,3517242477.2285,3654031716.26881,3984000517.02345,4284028482.53766,4658246918.27092,5337833248.03924,6293046161.83262,7274595706.67154,8639235913.17746,10351914178.2857,10401851766.8465,11242275288.5243,12829541141.0127,14054443213.4639,15227991395.2201,16702610842.4025,18049954289.4229,20016747858.3122,22177200588.6749,24571753581.7841,27089390032.8915,25872797892.0285,26961061152.2979,29956769529.428
Cameroon,GDP (current US$),12236057369.912,11012566178.1825,12314482629.9082,11840192304.4132,12071775346.4187,16181814683.9551,8902446257.70445,10864772473.0524,11093538840.5385,10789458426.1088,11298144998.6965,11565826458.8945,10566579294.5164,10953485345.2216,12417251341.6032,15970315030.2406,18826214125.2325,19509852219.3298,20910512978.1716,23928250410.0588,27715142005.5704,27932970297.0644,27507501809.2414,30630910513.0616,30155062302.8443,33728621190.2114,36386544716.0794,32210233021.5735,33814337040.7804,36098547058.7877,39973842058.565,39670976440.3158,40773241211.6941,45338285386.1044,44341646509.2193
Canada,GDP (current US$),509379677196.071,567225367034.465,596089064840.248,612513895512.609,594376087449.388,579059001030.922,579944346807.264,605941036992.133,630597987889.282,654987932556.605,633997734246.945,678409995711.893,744773415931.587,738962729044.525,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725297938435.76,1743725183672.52,1647598402302.68,2001486745423.92,2139840023673.81
Cape Verde,GDP (current US$),264308140.285149,267448570.271348,306890961.188801,319827058.592875,357160985.327413,490417389.682569,406580652.330537,487148993.533109,501979271.869894,490608657.924976,521910560.524868,592416703.058878,539227277.626411,563090488.854022,620507385.702206,813260468.873834,924940012.85542,972241682.104792,1107571459.02306,1649621735.41343,1959620652.50746,1852334581.47534,1824751459.69304,2046817974.90838,1913081206.32052,2028910915.16446,2041930125.42979,1749857628.40716,1849789992.74328,1996741544.61549,2205099509.15921,2266752197.42617,1878277311.2253,2091741774.10772,2314816792.06291
Cayman Islands,GDP (current US$),,,,,,,,,,,,,,,,,,,4200288282.10157,4466278030.59167,4585948969.33223,4281714618.03238,4156841163.77763,4186073160.18253,4291004485.56803,4405796081.15984,4562853582.32463,4708167255.28727,4909322200.00212,5166281293.18715,5530178498.90783,5941896599.57333,5647224973.03878,6028373541.47434,
Central African Republic,GDP (current US$),1264899288.27967,1233930279.03002,1440711459.411,1377374987.52052,1411917554.45482,1278781259.30117,851174357.309582,1115389673.9125,1007791126.56226,937741512.447574,967338390.360019,999477510.686632,916777282.651168,932648604.420575,996068145.608021,1142315522.1989,1272360516.62022,1337894379.62649,1461859762.62791,1699811293.2576,1993407886.56402,2067381663.75378,2142591539.43526,2437982706.57499,2510126509.99501,1691544110.6915,1894813389.88175,1695825714.2427,1825018144.46187,2072349974.15272,2220979144.52008,2221301350.75537,2326720902.35741,2516498412.31361,2382618615.3562
Chad,GDP (current US$),1482597298.88729,1433686309.83641,1738605558.05436,1877137983.02923,1881847671.47122,1463251161.33494,1179837963.95379,1445919894.86249,1607345354.92671,1544689575.99186,1744794532.49364,1534673583.2487,1388506771.52623,1710843376.39331,1997005710.26555,2742815070.75867,4422855658.38043,6649307528.06238,7428701455.40565,8650137734.71637,10393833755.2791,9290728312.24383,10668103549.3123,12172308858.2993,12367362746.1307,12953534870.304,13940767222.1053,10950392257.2764,10097778097.0969,10000394388.1158,11239167890.2816,11314951088.2451,10715396051.4388,11779981332.1599,12704149842.0373
Chile,GDP (current US$),26040052657.0843,29885218681.9835,33113525803.8067,37835245155.9327,45964855773.9876,49298281355.6317,57008877553.41,73446446283.0164,78575020639.4728,85728899954.449,81995749804.4157,75596598517.3586,78249883995.6255,71517267767.736,70295232513.0515,76507853875.6649,99079365628.3333,122314960843.922,153840051814.059,172565861848.899,179663390874.653,171412643623.963,217105434199.5,251224856981.294,267175870677.659,277239473853.807,259405194672.935,242496655711.515,249298706449.182,276364936832.331,295402646018.151,278493308134.096,254096103516.324,316713577508.673,301025249437.947
China,GDP (current US$),312353631207.819,347768051311.741,360857912565.966,383373318083.624,426915712715.856,444731282435.515,564321876346.387,734484863889.36,863749314718.538,961602019650.615,1029060706187.88,1094010482677.39,1211331627479,1339400843164.88,1470557565965.51,1660280610709.71,1955346808095.44,2285961242869.55,2752118542130.4,3550327569655.47,4594336785737.67,5101691085625.95,6087191720866.69,7551545321799.88,8532185615746.62,9570470577244.86,10475624783235.6,11061573199439.7,11233314018690.1,12310491176727.3,13894907485398.9,14279968485748,14687743556969.6,17820459342451.2,17963170521079.8
Colombia,GDP (current US$),39212550050.4223,39540080200.3938,47844090709.9908,49637993948.8402,58394443348.9332,66474101329.3543,81705497616.5703,92495970511.3951,97153389010.9466,106656492324.769,98486358604.1784,86278947620.5906,99875074935.083,98200641189.1568,97945812789.8533,94644969146.1352,117092416651.395,145600527535.771,161792959247.85,206229536757.674,242504150472.931,232468666665.153,286498534094.963,334966134865.305,370691143086.761,382093697077.685,381240864422.407,293492370228.847,282720100286.228,311866875135.576,334198218100.716,323031701210.767,270150956772.567,318511813576.972,343939445259.487
Comoros,GDP (current US$),356500032.83085,341476768.0797,429622178.042984,424108769.124465,457388651.902444,452881475.076956,319189184.292569,398461796.741693,396053806.399557,364445600.133152,370106745.980287,382454989.945311,351136579.797929,378512024.115338,425964681.148945,546885223.179133,633706110.445225,653845169.189708,698431794.458549,795673153.183435,915659107.761637,905341173.973674,907978731.702118,1023086272.69622,1015843491.24638,1116224107.17123,1149587659.74505,966029599.801322,1012835492.51585,1077439756.12224,1188797449.96036,1195019531.03671,1225039195.93744,1296089479.45824,1242519407.27821
"Congo, Dem. Rep.",GDP (current US$),8861299976.74158,9021862775.18112,9349764580.41173,9625436872.51075,8227343907.26679,10706259936.7425,5820382248.28202,5643439376.10491,5771454939.62404,6090840548.18784,6217806273.31082,4711259427.27273,19088046305.7971,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484457.5233,14451901696.3878,16737071816.38,19788515579.0498,18648372544.7984,21565721036.3591,25839749198.8233,29306235295.3371,32679745036.2659,35909040943.885,37917706485.5896,37134801548.836,38019264804.5125,47568210020.9338,51775829868.7669,48716961864.5378,55350968593.0597,58065953573.3247
"Congo, Rep.",GDP (current US$),2212536313.33492,2389593021.94866,2798746050.58236,2724853507.64996,2933222705.7974,2684323618.40365,1769365438.88526,2116003868.17373,2540697537.70424,2322719101.28455,1949481380.64925,2354772959.06186,3227927697.43665,2796704603.04443,3034250926.18009,3503723086.7028,4656974937.55227,6650001684.9045,8072305030.68484,8782703427.96085,11649857662.1388,9723299908.19473,13148396205.671,15655383585.9887,17692911280.5627,17958720704.4596,17912907682.0663,11890259176.6829,10219341017.1383,11094823676.5914,13670038019.8594,12750338736.1661,10483151093.6873,13366230821.3293,14615532210.0523
Costa Rica,GDP (current US$),4614629898.40348,5251025767.47627,5711687786.75989,7196276092.461,8564041894.92938,9582868509.89998,10486787030.348,11578594259.8675,11678424507.2457,12614602382.2012,13684255946.5765,14254866281.1537,15013629658.6521,15976174336.9721,16578820687.2881,17271760506.9483,18610594846.2083,20040642476.9817,22715540324.3032,26884700345.0342,30801744881.0001,30745714326.9486,37658614803.2775,42762613705.7835,47231655433.4666,50949668885.9875,52016408923.9289,56441920823.7632,58847019584.9144,60516044623.4876,62420164964.6987,64417670555.7821,62395610764.0705,64616482167.7475,68380838316.2777
Cote d'Ivoire,GDP (current US$),10255169812.0186,9757410629.74456,10795850584.5874,10492628587.8592,11152971284.4479,11045760268.6156,8313557515.30312,11000146268.6884,18071152820.9832,18047558026.6049,19619654770.0679,18870992455.7304,16577533891.5688,16810537038.4139,18054383333.5221,21251754334.7999,23510575668.5588,24036918719.3374,25281413268.2525,28760090924.2666,34078240260.1872,33886813225.179,34936307964.3213,36693710822.2216,36302302844.0196,42760235496.3898,48843005625.0307,45815005170.6127,48407761031.6758,52512344033.9625,58522477744.7313,59898479821.1946,62982768371.5174,71811075954.676,70018715016.6967
Croatia,GDP (current US$),,,,,,,,22778305790.163,24147539209.8502,24172608178.0871,25885225293.6151,23770159784.2572,22128719418.4376,23063323722.5007,26757255951.7786,35254833028.402,41855265955.2919,45025328213.7878,49532592592.8832,59172904660.6176,68342061762.0017,61941466003.2875,58693611581.162,62599775593.221,57231455635.3668,59363124068.5843,59214461630.3993,50742086222.907,52391038979.0338,55937483557.9256,61330483609.8835,61329267533.1316,57624938982.3606,68843674641.2112,70964606464.6427
Cuba,GDP (current US$),27458999472.2955,27023468665.8977,28645436569.1489,24316556025.6585,22085858243.2432,22367254864.8649,28448326756.7568,30429803651.2192,25017368700,25365908100,25736331200,28364615200,30565400000,31682400000,33590500000,35901200000,38203000000,42643836100,48835925925.9259,54262870370.3704,56302129629.6296,57481481481.4815,59562962962.963,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,100050000000,103428000000,107352000000,,
Cyprus,GDP (current US$),4278792597.23965,4563482603.5503,5591130217.66965,5770197348.48485,6912150456.32334,6590291048.29211,7425703928.57143,9933133247.08926,10011918444.1656,9547818700.11403,10248617647.0588,10497908306.3646,9985844486.33365,10397897085.6102,11420227884.6154,14547325028.3126,17320552500,18433411267.2553,20072786350.5206,23968764029.5647,27844698989.3072,25945391775.4932,25799940416.0173,27641551809.0956,25047433099.5891,23959708956.2928,23225912183.4988,19909269064.8473,21046452117.3765,22946583375.5508,25597301190.678,25945194240.4544,25008266159.2479,28408064462.1856,28439052740.8561
Czech Republic,GDP (current US$),,,40728950704.6176,29859921158.8696,34805013229.572,40866982340.1957,47850065328.9754,60145663258.8982,67388492013.5445,62180519005.944,66807498696.3502,65173036730.6204,61823494487.0363,67808695573.681,82196206089.7585,100090467581.268,119814667457.855,137143375920.47,156264210926.177,190184113270.15,236816948159.718,207434296805.33,209069940963.177,229562733398.948,208857719320.649,211685616592.931,209358834156.329,188033050459.881,196272068576.338,218628940951.675,249000540729.179,252548179964.897,245974558654.043,281791218507.1,290923534700.518
Denmark,GDP (current US$),115552417468.553,112409606609.965,138248216614.801,139225595726.802,152914810032.913,143194762031.877,156163573390.254,185007982281.298,187633263192.748,173538719988.553,176991230634.23,177964167947.204,164157842126.821,164791096044.098,178634843165.633,218096916361.973,251374821136.171,264466895451.157,282885978374.285,319423375611.047,353358901702.046,321243301145.337,321995279401.502,344003137611.271,327148943812.137,343584391647.927,352993631617.708,302673070846.857,313115929314.339,332121063806.391,356841216410.068,346498737961.635,355222449505.211,398303272764.46,395403906582.001
Djibouti,GDP (current US$),395794538.630775,409220087.102818,452328087.282876,462421998.525779,478058304.871118,466048469.22986,491689220.744875,497723960.589913,494004647.73437,502675542.001227,514267869.300758,536080148.097299,551230861.856505,572417440.820162,591122039.601398,622044665.515049,666072101.777505,708633194.726566,768873684.032838,847918929.107984,999105339.267729,1049110684.72493,1128611700.3618,1239144501.77525,1353632941.5207,2042817162.85639,2214679081.25658,2424391785.43897,2604955228.70117,2762581334.22612,2913466732.12507,3088853638.56832,3181071153.6622,3372287461.80812,3515109075.46098
